Alloy,avg_atomic_weight,min_atomic_weight,max_atomic_weight,avg_atomic_volume,min_atomic_volume,max_atomic_volume,avg_atomic_number,min_atomic_number,max_atomic_number,avg_electron_affinity,min_electron_affinity,max_electron_affinity,avg_en_mulliken,min_en_mulliken,max_en_mulliken,avg_en_pauling,min_en_pauling,max_en_pauling
Ti34.4Nb20.6Cr10V10Ni15Al10,57.40088406999999,55.845,47.867,9.4192,7.1,10.6,26.213999999999995,26,22,0.551944636,0.151,0.079,3.6944845529999997,4.0267339,3.45356,1.63586,1.83,1.54
TiZrHfVNbTa,107.06279166666666,26.9815385,178.49,11.391666666666666,10.0,13.6,45.16666666666667,13,72,0.3805676666666667,0.43283,0.013999999999999999,3.63542525,3.2092992000000002,3.419535,1.4833333333333334,1.61,1.3
TiZrHfV0.5Nb0.5Ta0.5,106.6619722222222,26.9815385,178.49,11.85,10.0,13.6,45.00000000000001,13,72,0.31137844444444446,0.43283,0.013999999999999999,3.579510722222222,3.2092992000000002,3.419535,1.4522222222222225,1.61,1.3
TiZrHfV0.1Nb0.1Ta0.1,106.07896212121213,26.9815385,178.49,12.516666666666666,10.0,13.6,44.75757575757576,13,72,0.21073957575757576,0.43283,0.013999999999999999,3.4981805,3.2092992000000002,3.419535,1.4069696969696972,1.61,1.3
CrHfNbTaTi,110.44147,26.9815385,51.9961,10.626,10.0,7.23,46.4,13,24,0.3996812,0.43283,0.6659999999999999,3.6726526,3.2092992000000002,3.7162550000000003,1.52,1.61,1.66
Nb0.5TiV2Zr0.5,60.453796249999996,26.9815385,50.9415,9.9375,10.0,8.35,27.125,13,23,0.45017575,0.43283,0.525,3.6021965,3.2092992000000002,3.6355935,1.56625,1.61,1.63
Al0.2Nb0.5TiV2Zr0.5,58.85400841645,51.9961,50.9415,9.94023,7.23,8.35,26.4499,24,23,0.449326205,0.6659999999999999,0.525,3.5834471145399993,3.7162550000000003,3.6355935,1.568347,1.66,1.63
Al0.4Nb0.5TiV2Zr0.5,58.85400841645,51.9961,50.9415,9.94023,7.23,8.35,26.4499,24,23,0.449326205,0.6659999999999999,0.525,3.5834471145399993,3.7162550000000003,3.6355935,1.568347,1.66,1.63
Al0.6Nb0.5TiV2Zr0.5,56.08901383939999,51.9961,50.9415,9.94565,7.23,8.35,25.283099999999994,24,23,0.44791386419999996,0.6659999999999999,0.525,3.5509626920799997,3.7162550000000003,3.6355935,1.5719549999999995,1.66,1.63
Al0.8Nb0.5TiV2Zr0.5,54.8795280181,51.9961,50.9415,9.948005,7.23,8.35,24.772700000000004,24,23,0.44731558320000003,0.6659999999999999,0.525,3.5367513337700003,3.7162550000000003,3.6355935,1.573535,1.66,1.63
Al1.0Nb0.5TiV2Zr0.5,53.75934469999999,51.9961,50.9415,9.95,7.23,8.35,24.3,24,23,0.44670659999999995,0.6659999999999999,0.525,3.5236170400000004,3.7162550000000003,3.6355935,1.575,1.66,1.63
Nb40Ti25Al15V10Ta5Hf3W2,76.349572775,51.9961,92.90637,10.448599999999999,7.23,10.8,33.44,24,41,0.5369821,0.6659999999999999,0.917406,3.62977363,3.7162550000000003,3.8381279999999998,1.5775000000000003,1.66,1.6
Ti40Al10V20Nb20Mo10,60.20952784999999,51.9961,47.867,10.01,7.23,10.6,27.1,24,22,0.4381642,0.6659999999999999,0.079,3.58911972,3.7162550000000003,3.45356,1.639,1.66,1.54
Ti35Al15V20Nb20Mo10,59.165254774999994,51.9961,47.867,9.98,7.23,10.6,26.65,24,22,0.45585570000000003,0.6659999999999999,0.079,3.5769066799999996,3.7162550000000003,3.45356,1.6425,1.66,1.54
Ti30Al20V20Nb20Mo10,58.1209817,51.9961,47.867,9.95,7.23,10.6,26.2,24,22,0.4735472,0.6659999999999999,0.079,3.5646936399999993,3.7162550000000003,3.45356,1.646,1.66,1.54
Al0.5CoCrCuFeNi,55.085067728829195,178.49,51.9961,7.215287612765545,13.6,7.23,25.58317974585314,72,24,0.743963974662916,0.013999999999999999,0.6659999999999999,4.093177239033854,3.419535,3.7162550000000003,1.8160723639538272,1.3,1.66
NbTaTiV,93.1656875,26.9815385,92.90637,10.1625,10.0,10.8,39.75,13,41,0.46085149999999997,0.43283,0.917406,3.715766625,3.2092992000000002,3.8381279999999998,1.5675,1.61,1.6
(VNbTiTa)97.5Si2.5,91.53899565086984,26.9815385,92.90637,10.210927814437113,10.0,10.8,39.10637872425515,13,41,0.48406359758048395,0.43283,0.917406,3.7421322375024997,3.2092992000000002,3.8381279999999998,1.5758108378324334,1.61,1.6
(VNbTiTa)95Si5,89.91165312499999,26.9815385,92.90637,10.259375,10.0,10.8,38.4625,13,41,0.50728498,0.43283,0.917406,3.76850839625,3.2092992000000002,3.8381279999999998,1.584125,1.61,1.6
(VNbTiTa)90Si10,86.65761875,26.9815385,92.90637,10.35625,10.0,10.8,37.175,13,41,0.55371846,0.43283,0.917406,3.8212501674999997,3.2092992000000002,3.8381279999999998,1.60075,1.61,1.6
